University Name,Country,Region
Aichi Bunkyo University,17,5
Aichi Bunkyo Women's College,17,5
Aichi Gakuin University,17,5
Aichi Institute of Technology,17,5
Aichi Kiwami College of Nursing,17,5
Aichi Konan College,17,5
Aichi Medical University,17,5
Aichi Mizuho Junior College,17,5
Aichi Prefectural College of Nursing & Health,17,5
Aichi Prefectural University of Fine Arts and Music,17,5
Aichi Shinshiro Otani University,17,5
Aichi Toho University,17,5
Aichi University,17,5
Aichi University of Education,17,5
Ch?bu University,17,5
Chukyo University,17,5
Daido Institute of Technology,17,5
Doho University,17,5
Fujita Health University,17,5
Fujita Health University College,17,5
chinomiya Women's Junior College,17,5
Japan Red Cross Aichi Junior College of Nursing,17,5
Junior College Aichi Gakuin University,17,5
Kinjo Gakuin University,17,5
Kinjo University,17,5
Meijo University,17,5
Nagoya Bunri College,17,5
Nagoya City University,17,5
Nagoya College,17,5
Nagoya College of Music,17,5
Nagoya Future Culture College,17,5
Nagoya Gakuin University,17,5
Nagoya Institute of Technology,17,5
Nagoya Keizai University,17,5
Nagoya Management Junior College,17,5
Nagoya Sangyo University,17,5
Nagoya University,17,5
Nagoya University of Arts,17,5
Nagoya University of Arts and Sciences,17,5
Nagoya University of Commerce & Business,17,5
Nagoya University of Foreign Studies,17,5
Nagoya Women's University,17,5
Nagoya Zokei University of Art & Design,17,5
Nanzan Junior College,17,5
Nanzan University,17,5
Nihon Fukushi University,17,5
Ohkagakuen College,17,5
Okazaki Women's Junior College,17,5
Sanyo Women's College,17,5
Shigabunka College,17,5
Shubun University,17,5
"St. Mary’s College, Nagoya",17,5
"Sugiyama Jogakuen University, Junior College",17,5
T?kaigakuen Women's College,17,5
Toyohashi University of Technology,17,5
Toyota Technological Institute,17,5
Akita International University,17,5
Akita Prefectural University,17,5
Akita University,17,5
Akita University of Art,17,5
Akita University of Nursing and Welfare,17,5
Misono Gakuen Junior College,17,5
North Asia University,17,5
Aomori Akenohoshi Junior College,17,5
Aomori Chuo Gakuin University,17,5
Aomori Public University,17,5
Aomori University,17,5
Aomori University of Health and Welfare,17,5
Hachinohe Institute of Technology,17,5
Hachinohe University,17,5
Hachinohe Junior College,17,5
Hirosaki Gakuin University,17,5
Hirosaki University,17,5
Hirosaki Welfare Junior College,17,5
Kitasato University School of Veterinary Medicine & Animal Sciences,17,5
Tohoku Women's College,17,5
Aikoku Gakuen University,17,5
Chiba College of Health Science,17,5
Chiba Institute of Technology,17,5
Chiba Keiai Junior College,17,5
Chiba Keizai University,17,5
Chiba Meitoku College,17,5
Chiba Prefectural University of Health Sciences,17,5
Chiba University,17,5
Ch??gakuin University,17,5
Edogawa University,17,5
International Budo University,17,5
Japan Christian Junior College,17,5
Josai International University,17,5
Kaichi International University,17,5
Kanda University of International Studies,17,5
Kawamura Gakuen Women's University,17,5
Keiai University,17,5
Meikai University,17,5
Meteorological College,17,5
Reitaku University,17,5
Seitoku University,17,5
Seiwa University,17,5
Showagakuin Junior College,17,5
Shukutoku University,17,5
Shumei University,17,5
Teikyo Heisei Nursing Junior College,17,5
Teikyo Heisei University,17,5
Tokyo Christian University,17,5
Tokyo Denki University,17,5
Tokyo Dental College,17,5
Tokyo Management College,17,5
Tokyo Seitoku University,17,5
Tokyo University of Information Sciences,17,5
Toyo Gakuen University,17,5
Uekusa Gakuen Junior College,17,5
Uekusa University,17,5
Wayo Women's University,17,5
Ehime University,17,5
Ehime Womens College,17,5
Imabari Meitoku Junior College,17,5
Matsuyama Shinonome College,17,5
Matsuyama University,17,5
