College/university/institute name,"Location,Address,Phone",Email,Remark
"Ahsanullah University of Science & Technology


","Type: Private University.                 Location:Dhaka.141 & 142, Love Road, Tejgaon Industrial Area, Dhaka-1208.
Tel. (8802) 8870422, Ext. 107, 114, Fax : (8802) 8870417-18"," info@aust.edu, regr@aust.edu",
"American International University-Bangladesh (AIUB) 
 ","Type: Private University.                 Location:Dhaka.House 83/B, Road 4, Kemal Ataturk Avenue, Banani,
Dhaka 1213, Bangladesh
 +88-02-9894229, +88-02-9897387, +88-02-58815357
+88-02-8813233
",info@aiub.edu,
"ASA University Bangladesh 
","Type: Private University.                 Location:Dhaka.ASAUB, ASA Tower, 23/3 Bir Uttam A. N. M. Nuruzzaman Sarak (Formerly known as Khilji Road), Shyamoli, Mohammadpur, Dhaka-1207. Bangladesh
Phone: 02-8130238, 8122555, 01670995533, 01670995533, Fax: 880-2-8114831 
",,
Asian University of Bangladesh,"Type: Private University.                 Location:Dhaka.House 25, Road 5, Sector 7 
Uttara Model Town, Dhaka-1230.
Tel: +880-2-8916116, +880-2-8922992, +880-2-8920709 [Ext: 101,102] 
Mobile: +8801678664413, +8801678664419 
Fax: 880-2-8916521  
",info@aub-bd.org,
 Atish Dipankar University of Science and Technology ,"Type: Private University.                 Location: Dhaka. House # 83, Road # 4, Block # B, Banani, Dhaka-1213.
PHONE NO+88-02-9897700, 9850105, 55033428, 01705153510",info@atishdipankaruniversity.edu.bd,
"Bangladesh Army International University of Science and Technology, Comilla 
","Type: Private University.                 Location: Comilla. Phone : 081-73920, 081-73930 Ext- 0,
Fax : +88 081-73910
Email : info@baiust.edu.bd
Address : Bangladesh Army International University of Science and Technology(BAIUST),Comilla Cantonment, Comilla 
Telephone - 081-73920, 081-73930 Ext- 0 or 119 
",registrar@baiust.edu.bd,
 Bangladesh Army University of Engineering & Technology (BAUET),"Type: Private University.                 Location: Natore. Qadiraba Cantonment, Dayarampur Road, Dayarampur 6431, Bangladesh
Mobile
+880 7722-72382
","info@bauet.ac.bd, registrar@bauet.ac.bd",
"Bangladesh Army University of Science & Technology, Saidpur 
","Type: Private University.                 Location: Nilphamari. Phone : 01769 675551-4, 967-3529, 967-3531
 Address : Saidpur Cantonment, Saidpur
", info@baust.edu.bd,
"Bangladesh Islami University

","Type: Private University.                 Location:Dhaka.Gazaria Tower
89/12, R. K. Mission Road (Maniknagar) Dhaka-1203
Tel: 7552495-6",,
"Bangladesh University
","Type: Private University.                 Location:Dhaka.15/1, Iqbal Road,Mohammedpur,Dhaka-1207. Phone: +8801755559301
",info@bu.edu.bd,
"Bangladesh University of Business and Technology (BUBT)

","Type: Private University.                 Location:Dhaka.Campus-2 Dhaka Commerce College Road Mirpur-2, Dhaka-1216 
Permanent Campus Plot # 77-78 Road # 9 Rupnagar Mirpur-2, Dhaka-1216 
Telephone: 9024266, 9024277, 9015397, 9020132-4
Cell: 01741129235, 01554882075, 01680050630, 01967169189, 01845734337
Fax: 9024399
"," info@bubt.edu.bd ; bubtinfo@gmail.com; admission@bubt.edu.bd
",
"Bangladesh University of Health Sciences

","Type: Private University.                 Location: Dhaka. 125/1, Darus Salam, Mirpur-1
Dhaka-1216, Bangladesh
Phone: [880] 2-8055312, 9010654
Fax: [880] 2-8055312
",info@buhs-edu.org,
"BGMEA University of Fashion & Technology
BUFT 

","Type: Private University.                 Location: Chittagong. S.R Tower
105 Uttara Model Town 
Sector 7,Dhaka-1230
Tel: 58950986, 58950987 & 48950535
",info@buft.edu.bd,
"BRAC University 
","Type: Private University.                 Location: Dhaka. 66 Mohakhali
Dhaka 1212
Bangladesh
Telephone, Fax and E-mails:
Phone: +880-2-9844051-4 (PABX) (Information Desk ext. 4003), +880-2-9853948-9
Fax: +880-2-58810383, +880-2-9856163
","info@bracu.ac.bd  (General information)
admissions@bracu.ac.bd  (Admission)
",
" Britannia University
","Type: Private University.                 Location:comilla. Paduar Bazar, Bishwa Road, Comilla
             Md. Siddiqur Rahman Mobile:01715-174717
          +8801762 622220,
+8801762 622221 
+8801762 622222,
 +8801762 622223 
", info@britannia.ac,
"Central Women's University 
","Type: Private University.                 Location: Dhaka.1 RK Mission Road, Ittefaq Bhaban, Dhaka-1203, Bangladesh
Phone: 02-9591551, 02-9567499, 01778-490525, 01915-721560, Fax: 02-7173810
",,
"Chittagong Independent University
","Type: Private University.                 Location: Chittagong. First Floor, Minhaj Complex 
12, Jamal Khan Road, Chittagong 
+880-1946973778 
 +88-031-622946, 611262, 636484 Ext: 109 & 141
 +88-031-611263 
",info@ciu.edu.bd,
