"University Name, number, Contact  address",Email ,Person name ,Comment 
"Handong Global University, 558 Handong-ro Buk-gu, Pohang Gyeongbuk 37554 Republic of Korea.(Gyeongsangbuk-do)
Tel. (+82) 054.260.1661, +82-54-260-1111 ,+82.54.260.1806,+82.54.260.1763", admissions@handong.edu;  williamwu@handong.edu;  exchange@handong.edu; lawschool@handong.edu; jkhwang@handong.edu; oia@handong.edu,"soon-Heung Chang, Ph.D, President ",
"Gimcheon University,
 39 528 Gimcheon North Gyeongsang Province Daehakro 214 (samrakdong). 
 054-420-4000, 054-420-4194,  054-420-4026
",lbjy1@gimcheon.ac.kr; ,,
"DONGGUK UNIVERSITY( Gyeongju Ccmpus),  Dongdae-ro, Gyeongju-si, Gyeongsangbuk-do, Korea 780-714 Tel. 82.54.770.2114, 0547702875,123,",iiae@dongguk.ac.kr;,"LEE DAE WON
President, 

",
"DAEGU HAANY UNIVERSITY,Institute of International Education, Daegu Haany University, 1 Hanui-daero, Gyeongsan-si, Gyeongbuk, S.Korea 712-708
Tel: +82-53-819-1743, +82-53-819-1748, 82538191046,+82-53-819-1138","noni0118@dhu.ac.kr; jinseok.e@dhu.ac.kr , dana0409@dhu.ac.kr; kimsoyang@dhu.ac.kr"," Chang Hoon, Byun
President",
"YEUNGNAM UNIVERSITY, 280 Daehak-ro, Gyeongsan, Gyeongbuk 38541, south Korea.Tel : 82-53-810-7863, 7882, 7883, 7884, 7885    Fax : 82-53-813-4016
"," cgchun@yumail.ac.kr,shlee@ynu.ac.kr; kakang@ynu.ac.kr;  treelover@ynu.ac.kr; cprincess@ynu.ac.kr; hyun9@ynu.ac.kr","Cheong Ghi,Chun, Ph. D.
Director,053-810-2767, 
",
"Pohang University of Science and Technology (POSTECH),191, Jeongjail-ro, Bundang-gu, Seongnam-si, Gyeonggi-do. Korea, Postal code:13557, 82542793782 / Fax : 82542793788", ynlee12@postech.ac.kr,,
"DAEGU UNIVERSITY,201, Daegudae-ro, Gyeongsan-si, Gyeonsangbuk-do 38453 South Korea,0538505686, +82-53-850-5681", hsn@daegu.ac.kr; ,"Duckryul Hong, Ph.D.
President",
"CATHOLIC UNIVERSITY OF DAEGU,330 Geumrak-ri, Hayang-eup, Gyeongsan-si, Gyeongsangbuk-do, South Korea,82538503292,82-53-850-3767", baejunseok@cu.ac.kr; lailai1718@cu.ac.kr,,
"WONKWANG UNIVERSITY,Iksandae-ro 460, 570-749, Iksan, Jeollabuk-do, South Korea,0638505752, 063-850-5114", my3154@wku.ac.kr; ,,
"HOWON UNIVERSITY,Howon University, 64 Howondae 3gil, Impi, Gunsan city, Jeollabuk-do.Korea Zip code) 54058
Tel) +82-63-450-7834,634507114",,,
"SUNMOON UNIVERSITY(Chungcheongnam-do),  Sun Moon University 70, Sunmoon-ro 221, Galsan-ri, Tangjeong-myeon,
  Asan-si, Chungcheongnam-do, South Korea, 336-708, Tel.: +82-41- 530-2033,0415302082,041-559-1330,041-559-1302-9", narasyn@sunmoon.ac.kr;leeko@sunmoon.ac.kr;  yoosc@daum.net,Sun Jo Hwang(president),
"KONYANG UNIVERSITY, 30-1 Nae-dong, Nonsan-si, Chungcheongnam-do, South Korea Phone: 042-600-1631 ~ 6,041-730-5114 ,042-600-6355,",hong@konyang.ac.kr; qhrma724@konyang.ac.kr; afellow85@konyang.ac.kr,,
"KOREA NAZARENE UNIVERSITY,48, Wolbong-ro, Seobuk-gu, Cheonan-si, Chungcheongnam-do, South Korea, 041-570-1545, 7745 , 041-570-7789 ","  comm@kornu.ac.kr, egeduc@kornu.ac.kr;  slp@kornu.ac.kr; ","  President, Dr Im Seung An ",
"Dankook University(cheonan campus), Cheonan Campus : 119, Dandae-ro, Dongnam-gu, Cheonan-si, Chungnam, 31116, Korea Tel : 82-1899-3700, 041-550-1232, 041-550-1232,  82-31-8021-2101;82-41-550-1070; 82-41-550-1071,82-41-550-1074", jasonlee@dankook.ac.kr; parkck0825@dankook.ac.kr; danwoo@dankook.ac.kr; letsdoit@dankook.ac.kr;woohyeok@dankook.ac.kr;  jeup2219@dankook.ac.kr; ,"Hosung Chang,Ph.D, President",
"CHEONGJU UNIVERSITY(Chungcheongbuk-do),298, Daeseong-ro, Sangdang-gu, Cheongju-si, Chungcheongbuk-do, South Korea, 82-43-229-8810,82-(0)43-229-8811, ","cju.intl@gmail.com;   intl@cju.ac.kr, cju.intl@gmail.com",,
"SEMYUNG UNIVERSITY,65, Semyeong-ro, Jecheon-si, Chungcheongbuk-do, South Korea,82436491183,82436491187,82436491181,2,5",na2118@semyung.ac.kr;  intl@semyung.ac.kr; ,"Young Geol Lee,President",
"HALLYM UNIVERSITY(Gangwon-do), 1 Hallimdaehak-gil, Chuncheon-si, Gangwon-do, South Korea, 033-248-1343,+82-33-248-3669, +82-33-248-2974 ", sunjae.won@hallym.ac.kr; seungwun@hotmail.com; de3660@hallym.ac.kr,"Thomas Baek (Director),JeongHwan Yoon ( Coordinator ) ",
"YONSEI UNIVERSITY(WONJU), 234 Maeji-ri, Heungup-myun, Wounju-si, Gangwon-do 220-710, Korea. 0337602827", kwp27@yonsei.ac.kr; yiec@yonsei.ac.kr,"Insung Lee, Ph.D,Chancellor of wonju campus",
"Catholic KWANDONG UNIVERSITY, 24, Beomil-ro 579beon-gil, Gangneung-si, Gangwon-do, Korea Tel : +82-033-649-7114, +82-33-649-7000",ipsi@cku.ac.kr; ,"Chun. Myung-Hun Ph.D.
President",
"KYUNG HEE UNIVERSITY, GLOBAL CAMPUS(Gyeonggi-do), Room 103 College of Arts and Design, 1732 Deogyeong-daero, Giheung-gu, Yongin-si, Gyeonggi-do Tel. 031-201-3961 Fax. 031-201-3969,+82-2-961-0031", intlctr@khu.ac.kr; khsa0029@khu.ac.kr; khsa0061@khu.ac.kr; khwa5061@khu.ac.kr,"Dean, Dr. Yong-Seung PARK",
"AJOU UNIVERSITY,411, Worldcup-ro 199, Yeongtong-gu, Suwon-si, Gyeonggi-do
 031-219-1675/1677/2795,82312192925","admission@ajou.ac.kr; koli@ajou.ac.kr
",,
"Korea Aerospace University,76, Hanggongdaehang-ro, Deokyang-gu, Goyang-si, Gyeonggi-do, South Korea,82-2-300-0357,+82-2-3000-001,003,+82-2-3000-010",goodjoon@kau.ac.kr; info@kau.ac.kr;,"Dr. kang- woong Lee, president",
"KANGNAM UNIVERSITY,111 Gugal-dong Giheung-gu Yongin-si Gyeonggi-do Korea 446-702 . Tel_82-31-280-3500",,"DBA. Shinil Yoon ,President",
"THE CATHOLIC UNIVERSITY OF KOREA,43 Jibong-ro, Wonmi-gu, Bucheon-si, Gyeonggi-do, (14662), Republic of Korea Tel : +82-2-2164-4114,+82-2-740-9714 ",,"Fr. Johan Yeong-sik Pahk, S.S.D, President",
"Gachon University Global Campus,1342 Seongnamdae-ro, Sujeong-gu, Seongnam-si, Gyeonggi-do, Korea
Tel: 82-31-750-5024, 5663", chriskim@gachon.ac.kr; info@gachon.ac.kr,"Lee Gil Ya,president",
"HANKUK UNIVERSITY OF FOREIGN STUDIES(GLOBALCAMPUS),107, Imun-ro, Dongdaemun-gu, Seoul, 130-791, Korea,82-2-2173- 2260", cklace@hufs.ac.kr,"InChu Kiml
President of HUFS ",
"YONG-IN UNIVERSITY,Yongin Univ., Samga-dong, Yongin-si, Gyeonggi-do [449-714] Korea
+82 31-332-6471~6, +82 31-336-4045~7, +82 2-743-2110031-8020-2915",shinemoonjh@naver.com;,"Park Sun-Kyoung,president",
"SEOUL JANGSIN UNIVERSITY AND THEOLOGICAL SEMINARY,San 20-5 Gyungan-ri
Gwangju
464-742 Gyeonggi
Korea,50,000-249,999,  
+82 (31) 761 6453
",,,
"HANNAM UNIVERSITY(Daejeon)70 Hannamro, Daedeok-gu, Daejeon, Korea 
Center for Korean(CKLKS) / zip code: 34430,(82-42-629-8282,82-42-629-7222 ,82-42-629-7739,+82-42-629-7739,82426298514)","cklks@hnu.kr;  cuixu79@hnu.kr; hnuchina@hnu.kr, wbkim@hnu.kr","Hannam University President 
Dukhoon Lee, Ph.D.",
"MOKWON UNIVERSITY,302-729 Mokwon Gil-21, Doan-dong, Seo-gu, Daejeon, Korea,0428297133", inter@mokwon.ac.kr; info@mokwon.ac.kr,,
"DAEJEON UNIVERSITY, 62 Daehak-ro, Dong-gu, Daejeon, South Korea0422802943,", rongfan@dju.kr; ,"Yong-Chul Lim

President",
"WOOSONG UNIVERSITY,+82-42-630-9623,042-630-9895,+82-42-630-9695,9796
", jsc@lion.woosong.ac.kr;tesolmall@woosong.org,"John E. Endicott, President ",
"CHOSUN UNIVERSITY(Gwangju), SEOSUK-DONG, DONG-GU, GWANGJU 61452,korea,TEL:+82-62-230-6486 ,82-62-230-6499,375,", skh234@chosun.ac.kr;admission@chosun.ac.kr;youshinj@chosun.ac.kr;pixies@chosun.ac.kr;sungwoo2@chosun.ac.kr,"Suh Chae-Hong M.D. & Ph. D.
Chosun University, An acting president",
"KEIMYUNG UNIVERSITY(Daegu),1095 Dalgubeoldaero, Daegu
704-701, Korea,+82-53-580-5114,+82-53-580-6074,+82-53-580-6029,+82-53-580-6497",intl@kmu.ac.kr;,"Synn Ilhi
President
Keimyung University",
"SILLA UNIVERSITY(Busan),Postal code : 46958, 140 Baegyang-daero(Blvd), 700beon-gil(Rd.), Sasang-Gu, Busan, Korea TEL 82-51-999-5515FAX 82-51-999-5519,82519995480 ", jwchoi@silla.ac.kr; ,"Tae Hak Park,president",
"BUSAN UNIVERSITY OF FOREIGN STUDIES,",,"Hae Lin Chung,Ph.D, president",
"Dongseo University, 47 Jurye-ro, Sasang-gu, Busan 47011, Korea    
TEL : 82-51-320-2092, 2093 0513202092",zhongnan@gdsu.dongseo.ac.kr;  international@dongseo.ac.kr,"Dr. Jekuk Chang
President",
"KYUNGSUNG UNIVERSITY,314-79. daeyeon-dong, nam-gu, busan 608-736 republic of korea, 82516634065,051) 663-4114,  [Bangladesh Office ]
Bof Korea & Bangladesh Ltd(Young Korean Language Center)
[Director : Kim Young Wan]
R#23,  H#7, A1, BLOCK-B BANANI. DHAKA. BANGLADESH

Tel : 881847050552",sarahcho@ks.ac.kr;  ssarahcho@naver.com; hanalee@ks.ac.kr;bongjoo@ks.ac.kr; mhjeon@ks.ac.kr,, 
"SOOKMYUNG WOMEN`S UNIVERSITY,Cheongpa-ro 47-gil 100(Cheongpa-dong 2 ga), Yongsan-gu, Seoul 04310, Korea,82-2-710-9284,82-2-710-9256,82-2-710-9114,027109817",admission@sm.ac.kr; jinhee@sm.ac.kr;inthouse@sm.ac.kr,,
"KYUNG HEE UNIVERSITY,26, Kyungheedae-ro, Dongdaemun-gu, Seoul, 02447, Republic of Korea  Tel. +82-2-961-0114
•  +82-2-961-0005 
8229619286,+82-2-961-0106
","khsa0002@khu.ac.kr, hoinkim@khu.ac.kr,khsd3080@khu.ac.kr",,
"Dongguk University,26, Pil-dong 3-ga jung-gu Seoul, Korea 100-715  TEL:02-2260-3114  ,
International Relations
Tel. +82-2-2260-3463
    0222603439 
","scf@dongguk.edu, iie@dongguk.edu,","Jun, Ki Yeon ",
"SEOUL SCHOOL OF INTEGRATED SCIENCES & TECHNOLOGIES
01062910730,
","dhkim2@assist.ac.kr,",Dae-Hwan(Mike,
"SUNGKYUNKWAN UNIVERSIT,International Office, 90212 International Hall, Sungkyunkwan University
25-2, Sungkyunkwan-ro, Jongno-gu, Seoul 110-745, Korea ,02-760-0158 ","admission@skku.edu,
intlans@skku.ed,usukekyu@skku.edu, sunnypole@skku.edu, milee@skku.edu, bluerain@skku.edu,intlhss@skku.edu;daunkim@skku.edu; cboreman@skku.edu;sukekyu@skku.edu;
","CHUNG KYU SANG,president",
"SOGANG UNIVERSITY
+82-2-705-8124,82-2-705-8753 ;82-2-705-8168,+82-2-705-8118/+82-2-705-7855,+82-2-705-8621,+82-2-705-8121
","gsis@sogang.ac.kr, goabroad@sogang.ac.kr, onestop@sogang.ac.kr, sengins@sogang.ac.kr, lovesogang@sogang.ac.kr, acafice@sogang.ac.kr, regist@sogang.ac.kr,","Prof. Ki-Pung Yoo
President of Sogang University",
"HANYANG UNIVERSITY,Secretary Team
(+82-2-2220-0033)
0222200046, +82-2-2220-2444,+82-2-2220-1421,+82-2-2220-0043,+82-2-2220-0067
","cwithtt@hanyang.ac.kr, hmyoo01@hanyang.ac.kr, cwithtt@hanyang.ac.kr,

ykseo@hanyang.ac.kr,
","Young moo lee
President 
Inter Admission
Hyemin Yoo
Sunjin Lee
",Young koyong seo
