ORGANIZATION,REGION,COUNTRY
National Central University,5,
National Cheng Kung University,5,
National Chengchi University,5,
National Chi Nan University,5,
National Chiao Tung University,5,
National Chiayi University,5,
,5,
National Chung Cheng University,5,
National Chung Hsing University,5,
National Dong Hwa University,5,
National Ilan University,5,
National Pingtung University,5,
,5,
National Quemoy University,5,
National Sun Yat-sen University,5,
National Taipei University,5,
National Taitung University,5,
National Taiwan University,5,
National Taiwan Ocean University,5,
National Tsing Hua University,5,
National United University,5,
National University of Tainan,5,
National Yang-Ming University,5,
University of Taipei,5,
,5,
National Changhua University of Education,5,
National Hsinchu University of Education,5,28
National Kaohsiung Normal University,5,28
National Taichung University of Education,5,28
National Taipei University of Education,5,28
National Taiwan Normal University,5,28
National Taiwan Sport University,5,28
National Taiwan University of Arts,5,28
National Taiwan University of Physical Education and Sport,5,28
Tainan National University of the Arts,5,28
Taipei National University of the Arts,5,28
National Chin-Yi University of Technology,5,28
National Formosa University,5,28
National Kaohsiung First University of Science and Technology,5,28
National Kaohsiung Marine University,5,28
National Kaohsiung University of Applied Sciences,5,28
,5,28
National Kaohsiung University of Hospitality and Tourism,5,28
National Penghu University of Science and Technology,5,28
National Pingtung University of Science and Technology,5,28
National Taichung University of Science and Technology,5,28
National Taipei University of Nursing and Health Science,5,28
National Taipei University of Technology,5,28
National Taiwan University of Science and Technology,5,28
National Yunlin University of Science and Technology,5,28
National Tainan Institute of Nursing,5,28
National Taipei University of Business,5,28
National Taitung Junior College,5,28
National Taiwan College of Performing Arts,5,28
National Open University,5,28
Open University of Kaohsiung,5,28
,5,28
Private universities and colleges[edit],5,28
,5,28
,5,28
,5,28
,5,28
,5,28
Asia University,5,28
Chang Gung University,5,28
Chang Jung Christian University,5,28
China Medical University,5,28
,5,28
Chung Hua University,5,28
,5,28
,5,28
,5,28
,5,28
,5,28
,5,28
,5,28
,5,28
,5,28
Chung Shan Medical University,5,28
,5,28
,5,28
,5,28
,5,28
,5,28
,5,28
,5,28
,5,28
,5,28
Chung Yuan Christian University,5,28
,5,28
,5,28
,5,28
,5,28
,5,28
,5,28
,5,28
,5,28
,5,28
Da-Yeh University,5,28
,5,28
,5,28
,5,28
,5,28
,5,28
,5,28
,5,28
Feng Chia University,5,28
,5,28
,5,28
,5,28
,5,28
,5,28
,5,28
,5,28
,5,28
,5,28
Fu Jen Catholic University,5,28
,5,28
,5,28
,5,28
,5,28
,5,28
,5,28
,5,28
,5,28
,5,28
Tatung University,5,28
,5,28
,5,28
,5,28
,5,28
,5,28
,5,28
,5,28
,5,28
,5,28
Tzu Chi University,5,28
,5,28
