organization,region,country
Hanoi University of Science and Technology (formerly Hanoi University of Technology - Tr??ng ??i h?c Bách Khoa Hà N?i) - largest in technology,5,410
Ho Chi Minh City University of Technology and Education (??i h?c S? ph?m K? thu?t Thành ph? H? Chí Minh),5,410
"Can Tho University (??i h?c C?n Th?; formerly, Vi?n ??i h?c C?n Th? [1966-1975])",5,410
Foreign Trade University (Tr??ng ??i h?c Ngo?i Th??ng),5,410
Hanoi Medical University (Tr??ng ??i h?c Y Hà N?i),5,410
Hanoi National University of Education (Tr??ng ??i h?c S? Ph?m Hà N?i),5,410
Hanoi Open University (??i h?c M? Hà N?i),5,410
Hanoi Pedagogical University N°2 (Tr??ng ??i h?c S? Ph?m Hà N?i 2) [www.hpu2.edu.vn],5,410
"Hanoi University (Tr??ng ??i h?c Hà N?i, formerly Hanoi University of Foreign Studies - Tr??ng ??i h?c Ngo?i Ng? Hà N?i)",5,410
"Hanoi University of Agriculture ([??i h?c Nông nghi?p Hà N?i, formerly ??i h?c Nông nghi?p 1 Hà N?i]) [1]",5,410
Hanoi University of Civil Engineering (Tr??ng ??i h?c Xây D?ng)- largest and most famous in civil engineering,5,410
"Hanoi University of Industry (??i h?c Công Nghi?p Hà N?i, high-technology and engineering)",5,410
Hanoi University of Law (Tr??ng ??i h?c Lu?t Hà N?i),5,410
Hanoi University of Mining and Geology (Tr??ng ??i h?c M? - ??a ch?t),5,410
Ho Chi Minh City Medicine and Pharmacy University (??i h?c Y D??c Thành ph? H? Chí Minh),5,410
Ho Chi Minh City Open University (??i h?c M? Thành ph? H? Chí Minh),5,410
"Hue University (??i h?c Hu?; formerly Vi?n ??i h?c Hu?, 1957-1975)",5,410
Hue College of Agriculture and Forestry (Tr??ng ??i h?c Nông lâm Hu?),5,410
Hue College of Arts (Tr??ng ??i h?c Ngh? thu?t Hu?),5,410
Hue College of Economics (Tr??ng ??i h?c Kinh t? Hu?),5,410
Hue College of Foreign Languages,5,410
Hue College of Medicine (Tr??ng ??i h?c Y khoa Hu?),5,410
Hue College of Teacher Training (Tr??ng ??i h?c S? ph?m Hu?),5,410
Military University of Science and Technology (??i h?c K? thu?t Lê Quý ?ôn hay H?c vi?n K? thu?t Quân s?),5,410
National Economics University (Tr??ng ??i h?c Kinh t? Qu?c dân),5,410
"Thai Nguyen University (??i h?c Thái Nguyên), Thai Nguyen",5,410
Thai Nguyen University of Technology (Tr??ng ??i h?c K? thu?t Công nghi?p Thái Nguyên),5,410
University of Agriculture and Forestry (??i h?c Nông lâm Thành ph? H? Chí Minh),5,410
University of Da Nang (??i h?c ?à N?ng),5,410
Da Nang College of Education (Tr??ng ??i h?c S? ph?m ?à N?ng),5,410
Da Nang College of Foreign Languages (Tr??ng ??i h?c Ngo?i ng? ?à N?ng),5,410
Da Nang College of Information Technology (Tr??ng ??i h?c Công ngh? Thông tin ?à N?ng),5,410
Da Nang College of Technology (Tr??ng Cao ??ng công ngh? ?à N?ng),5,410
Da Nang University Branch at Kontum (Chi nhánh Tr??ng ??i h?c ?à N?ng t?i Kontum),5,410
Da Nang University of Economics (Tr??ng ??i h?c Kinh t? ?à N?ng),5,410
Da Nang University of Technology (Tr??ng ??i h?c Bách khoa ?à N?ng),5,410
"University of Economics, Ho Chi Minh City (Tr??ng ??i h?c Kinh t? Thành ph? H? Chí Minh)",5,410
Banking University Ho Chi Minh City (Tr??ng ??i h?c Ngân hàng Thành ph? H? Chí Minh),5,410
University of Labour and Social Affairs CSII (??i h?c Lao ??ng - Xã H?i c? s? phía Nam),5,410
University of Transport and Communications (Tr??ng ??i h?c Giao thông V?n t?i),5,410
"Vietnam National University, Hanoi (??i h?c Qu?c gia Hà N?i)",5,410
College of Economics (Tr??ng ??i h?c Kinh t?),5,410
College of Education (??i H?c Giáo D?c),5,410
College of Foreign Languages (Tr??ng ??i h?c Ngo?i ng?),5,410
College of Natural Science (Tr??ng ??i h?c Khoa h?c T? nhiên),5,410
College of Social Science and Humanity (Tr??ng ??i h?c Khoa h?c Xã h?i và Nhân v?n),5,410
College of Technology (Tr??ng ??i h?c Công ngh?),5,410
School of International Studies (Khoa Qu?c t?),5,410
"Vietnam National University, Ho Chi Minh City (??i h?c Qu?c gia Thành ph? H? Chí Minh)",5,410
Faculty of Medicine (Khoa Y),5,410
Ho Chi Minh City International University (Tr??ng ??i h?c Qu?c t? Thành ph? H? Chí Minh),5,410
Ho Chi Minh City University of Economics and Law (Tr??ng ??i H?c Kinh T? và Lu?t thành ph? H? Chí Minh),5,410
Ho Chi Minh City University of Science (Tr??ng ??i h?c Khoa h?c T? nhiên Thành ph? H? Chí Minh),5,410
Ho Chi Minh City University of Social Sciences and Humanities (Tr??ng ??i h?c Khoa h?c Xã h?i và Nhân v?n Thành ph? H? Chí Minh),5,410
Ho Chi Minh City University of Technology (Tr??ng ??i h?c Bách khoa Thành ph? H? Chí Minh),5,410
Ho Chi Minh City University of Information Technology (Tr??ng ??i h?c Công Ngh? Thông Tin thành ph? H? Chí Minh),5,410
Institute for Resources and Environment (Trung tâm nghiên c?u tài nguyên và môi tr??ng),5,410
Other public universities[edit],5,410
Universities (??i h?c)[edit],5,410
An Giang University (??i h?c An Giang),5,410
