ORGANIZATION,,REGION,COUNTRY
Andijan[edit],,5,611
Andijan Agriculture Institute,,5,611
Andijan Engineering and Economic Institute,,5,611
Andijan State Medical Institute,,5,611
Andijan State Pedagogical Institute of Languages,,5,611
Andijan State University,,5,611
,,5,611
Bukhara[edit],,5,611
Bukhara Engineering Institute of High Technology,,5,611
Bukhara State Medical Institute,,5,611
Bukhara State University,,5,611
,,5,611
Samarkand[edit],,5,611
Institute of Archaeology of the Science Academy of Uzbekistan (in Samarkand)[1],,5,611
Samarkand State Institute of Agriculture,,5,611
Samarkand State Institute of Architecture and Construction,,5,611
Samarkand State Institute of Economics and Service,,5,611
Samarkand State Institute of Foreign Languages,,5,611
Samarkand State Medical Institute,,5,611
Samarkand State University,,5,611
,,5,611
Tashkent[edit],,5,611
Inha University in Tashkent,,5,611
Tashkent Automobile and Road Construction Institute,,5,611
Management Development Institute of Singapore in Tashkent,,5,611
Moscow State University in Tashkent named M.V Lomonosov,,5,611
National University of Uzbekistan,,5,611
Tashkent Architectural Building Institute,,5,611
Tashkent Financial Institute,,5,611
Tashkent Institute of Irrigation and Melioration[2],,5,611
Tashkent State Agrarian University,,5,611
Tashkent State Technical University,,5,611
Tashkent State University of Economics,,5,611
Tashkent State University of Law,,5,611
Tashkent University of Information Technologies,,5,611
University of World Economy and Diplomacy,,5,611
Uzbekistan State University of World Languages,,5,611
Westminster International University in Tashkent,,5,611
,,5,611
Others[edit],,5,611
Karshi Engineering-Economics institute,,5,611
Namangan State University,,5,611
Urgench State University,,5,611
