Organization Name ,Region,Country
Akdeniz Karpaz Üniversitesi ,3,347
Alexander College ,3,347
American College ,3,347
ARTE Music Academy ,3,347
C.D.A. College ,3,347
City Unity College Nicosia ,3,347
College of Tourism & Hotel Management ,3,347
Cyprus International Institute of Management ,3,347
Cyprus International University ,3,347
Cyprus University of Technology ,3,347
Dogu Akdeniz Üniversitesi ,3,347
European University Cyprus ,3,347
Frederick University ,3,347
Girne Amerikan Üniversitesi ,3,347
Girne Üniversitesi ,3,347
Lefke Avrupa Üniversitesi ,3,347
Mesoyios College ,3,347
MKC City College ,3,347
Neapolis University ,3,347
Orta Dogu Teknik Universitesi Kuzey Kibris,3,347
P.A. College ,3,347
The CTL Eurocollege ,3,347
The Philips College ,3,347
"University of Central Lancashire, ",3,347
University of Cyprus ,3,347
University of Nicosia ,3,347
Yakin Dogu Üniversitesi ,3,347
